iter	RMSE
0	0.4024938504
1	0.3744289182
2	0.3529552971
3	0.3386931256
4	0.3255958301
5	0.3157384136
6	0.3094898545
7	0.3047613847
8	0.3009326284
9	0.2971451284
10	0.2939850628
11	0.2916699432
12	0.2901168107
13	0.2886285344
14	0.2870602674
15	0.2861462162
16	0.2852729303
17	0.2841631836
18	0.2830060099
19	0.2826519237
20	0.2821665241
21	0.2815515116
22	0.2811430613
23	0.2807302451
24	0.2800267209
25	0.2791968028
26	0.2787473068
27	0.2783606323
28	0.2778423961
29	0.27766554
30	0.2774606243
31	0.2770807306
32	0.2769544379
33	0.2766618064
34	0.2761530353
35	0.2761007788
36	0.2758051518
37	0.2751699016
38	0.274807005
39	0.2745966437
40	0.2743167299
41	0.2734246662
42	0.2729112005
43	0.2725777041
44	0.2722618411
45	0.2720163597
46	0.2718132492
47	0.2711774905
48	0.2709244381
49	0.270413479
